Instances,feature_Max_Normalized_Entropy_attributes,feature_Normalized_Entropy_Class_Attribute,feature_Mean_Mutual_Information_Attribute_Class,feature_ErrorRate_Decision_Node,feature_WeightedDist_StdDev,feature_Max_Feature_Efficiency_F3,feature_Collective_Feature_Efficiency_F4,feature_Training_Error_Linear_Classifier_L2,feature_Fraction_Points_Class_Boundary_N1,feature_Nonlinearity_Nearest_Neighbor_Classifier_N4,algo_NB,algo_LDA,algo_QDA,algo_CART,algo_J48,algo_KNN,algo_L_SVM,algo_poly_SVM,algo_RBF_SVM,algo_RandF
thyroid_sick,0.328661737,0.027973013,0.010580141,0.061240228,4.513471291,0.138388127,0.300106019,0.061240721,0.065482505,0.181203604,0.071312085,0.048856411,0.114980158,0.014317994,0.009282416,0.03844189,0.02969068,0.051435027,0.029957335,0.013786788
thyroid_sick_no_Nas,0.325233766,0.035443941,0.010879527,0.080215838,4.513471291,0.156261817,0.269390851,0.080211878,0.083995461,0.183692753,0.082105489,0.147562792,0.147562792,0.018540595,0.01172956,0.047288451,0.040871927,0.07,0.04238422,0.017793025
tic,0.157996585,0.093998899,0.013049186,0.346655702,0.479110997,0,0,0.346555322,0.482254684,0.277139902,0.301688596,0.016666667,0.452893157,0.074057018,0.153388158,0.039671053,0.016666667,0.339177632,0.07933114,0.009385965
titanic,0.166072475,0.081741357,0.048078964,0.312587413,4.875923587,0,0,0.223989099,0.432530671,0.455474794,0.226731798,0.224002468,0.226731798,0.219463184,0.209463184,0.255370218,0.224002468,0.216737968,0.224008638,0.223547923
trains,0.879588002,0.301029996,0.202774902,0.2,0.264890639,0.5,0.800000012,0.100000001,0.5,0,0.3,0.55,0.5,0.5,0.1,0.4,0.5,0.5,0.5,0.5
turkiye,0.182509649,0.274751832,0.02688293,0.209077154,3.619441063,0,0,0.076923077,0.176592651,0.441032249,0.150030792,0.166051918,0.897845266,0.186054841,0.17354625,0.158744878,0.172685815,0.209228575,0.187904548,0.171827447
urban,0.319183689,0.318193751,0.372203117,0.193360908,1.037385457,0.609711935,0.998683102,0.050699589,0.089547325,0.068806589,0.049725198,0.053777095,0.862568595,0.058464638,0.055106234,0.056556043,0.054799759,0.065647969,0.045356876,0.037161838
user,0.322522059,0.233553354,0.201533262,0.217286822,0.65485201,0.54554265,0.678294584,0.250000004,0.178294575,0.102713197,0.062245081,0.035230173,0.027832439,0.051129398,0.046442457,0.09586285,0.028707215,0.084197973,0.047753131,0.03386941
vert2,0.312257358,0.109612389,0.096336587,0.225806452,0.998070948,0.358064502,0.448387086,0.322580636,0.312903225,0.204838693,0.222580645,0.161290323,0.183870968,0.177419355,0.174193548,0.167741935,0.15483871,0.264516129,0.161290323,0.14516129
vert3,0.312257358,0.180260744,0.257629433,0.126430801,0.998070948,0.473118265,0.634408593,0.231182789,0.251612902,0.155376335,0.10842872,0.129552549,0.092819979,0.112695109,0.095109261,0.124349636,0.075858481,0.14276795,0.105619147,0.086056191
